figure,stage_order,stage,item,label,value,unit,measured,n,source_file,source_key,note
fig1,1,full-precision dW,size_min,"bf16 baseline, qwen-3B",648.0000,MiB,derived,6,results/v10/patch_sizes.json,per_target.*.edited_n_params,edited-tensor params x 2 B (bf16) / 2**20; full precision was NEVER sized (no fp bytes field in results_v9/)
fig1,1,full-precision dW,size_max,"bf16 baseline, llama-8B",2560.0000,MiB,derived,6,results/v10/patch_sizes.json,per_target.*.edited_n_params,edited-tensor params x 2 B (bf16) / 2**20
fig1,1,full-precision dW,per_target_bf16,qwen-3B,648.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.qwen-3B.edited_n_params,n_params=339738624 x 2 B / 2**20
fig1,1,full-precision dW,per_target_bf16,gemma-2.6B,702.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.gemma-2.6B.edited_n_params,n_params=368050176 x 2 B / 2**20
fig1,1,full-precision dW,per_target_bf16,llama-3.2B,1344.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.llama-3.2B.edited_n_params,n_params=704643072 x 2 B / 2**20
fig1,1,full-precision dW,per_target_bf16,qwen-7B,1568.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.qwen-7B.edited_n_params,n_params=822083584 x 2 B / 2**20
fig1,1,full-precision dW,per_target_bf16,phi-3.8B,1728.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.phi-3.8B.edited_n_params,n_params=905969664 x 2 B / 2**20
fig1,1,full-precision dW,per_target_bf16,llama-8B,2560.0000,MiB,derived,1,results/v10/patch_sizes.json,per_target.llama-8B.edited_n_params,n_params=1342177280 x 2 B / 2**20
fig1,2,1 bit per weight,size_min,"dense binary patch, min",40.5003,MiB,measured,6,results/v10/patch_sizes.json,per_target.*.dense.mib,"dense column is binary-per_tensor-s0.0 (1 bit/weight), NOT the full-precision edit"
fig1,2,1 bit per weight,size_max,"dense binary patch, max",160.0002,MiB,measured,6,results/v10/patch_sizes.json,per_target.*.dense.mib,dense column is binary-per_tensor-s0.0 (1 bit/weight)
fig1,2,1 bit per weight,per_target_dense,qwen-3B,40.5003,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-3B.dense.mib,fused_qkv_only=False
fig1,2,1 bit per weight,per_target_dense,gemma-2.6B,43.8752,MiB,measured,12,results/v10/patch_sizes.json,per_target.gemma-2.6B.dense.mib,fused_qkv_only=False
fig1,2,1 bit per weight,per_target_dense,llama-3.2B,84.0002,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-3.2B.dense.mib,fused_qkv_only=False
fig1,2,1 bit per weight,per_target_dense,qwen-7B,98.0002,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-7B.dense.mib,fused_qkv_only=False
fig1,2,1 bit per weight,per_target_dense,phi-3.8B,108.0001,MiB,measured,12,results/v10/patch_sizes.json,per_target.phi-3.8B.dense.mib,fused_qkv_only=True
fig1,2,1 bit per weight,per_target_dense,llama-8B,160.0002,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.dense.mib,fused_qkv_only=False
fig1,2,1 bit per weight,bits_per_retained_coordinate,phi-3.8B,1.000057,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.phi-3.8B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
fig1,2,1 bit per weight,bits_per_retained_coordinate,llama-8B,1.000153,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
fig1,2,1 bit per weight,bits_per_retained_coordinate,qwen-7B,1.000218,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.qwen-7B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
fig1,2,1 bit per weight,bits_per_retained_coordinate,llama-3.2B,1.000254,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.llama-3.2B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
fig1,2,1 bit per weight,bits_per_retained_coordinate,gemma-2.6B,1.000452,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.gemma-2.6B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
