kind,condition,perturb_class,marker,marker_fill,cell,target,axis,axis_family,value,ci_lo,ci_hi,n,ci_status,ci_registered_in_v9,note
condition_mean,C-ref,reference,D,filled,,,,,0.353176,0.224083,0.492600,10,excludes 0,False,
cell_value,C-ref,reference,D,filled,gemma|occ_gender,gemma,occ_gender,templated,0.692862,,,,,,
cell_value,C-ref,reference,D,filled,llama|occ_gender,llama,occ_gender,templated,0.614768,,,,,,
cell_value,C-ref,reference,D,filled,phi|bbq_Age,phi,bbq_Age,BBQ,0.330883,,,,,,
cell_value,C-ref,reference,D,filled,phi|occ_gender,phi,occ_gender,templated,0.116302,,,,,,
cell_value,C-ref,reference,D,filled,phi|ss_intra,phi,ss_intra,StereoSet,0.100044,,,,,,
cell_value,C-ref,reference,D,filled,qwen|bbq_Age,qwen,bbq_Age,BBQ,0.253136,,,,,,
cell_value,C-ref,reference,D,filled,qwen|bbq_Race_ethnicity,qwen,bbq_Race_ethnicity,BBQ,0.252799,,,,,,
cell_value,C-ref,reference,D,filled,qwen|occ_gender,qwen,occ_gender,templated,0.391034,,,,,,
cell_value,C-ref,reference,D,filled,qwen|ss_intra,qwen,ss_intra,StereoSet,0.116584,,,,,,
cell_value,C-ref,reference,D,filled,qwen7b|occ_gender,qwen7b,occ_gender,templated,0.663351,,,,,,
condition_mean,C-a,support,o,filled,,,,,0.069627,0.031566,0.113276,10,excludes 0,False,
cell_value,C-a,support,o,filled,gemma|occ_gender,gemma,occ_gender,templated,0.094883,,,,,,
cell_value,C-a,support,o,filled,llama|occ_gender,llama,occ_gender,templated,0.043003,,,,,,
cell_value,C-a,support,o,filled,phi|bbq_Age,phi,bbq_Age,BBQ,0.077934,,,,,,
cell_value,C-a,support,o,filled,phi|occ_gender,phi,occ_gender,templated,0.013982,,,,,,
cell_value,C-a,support,o,filled,phi|ss_intra,phi,ss_intra,StereoSet,0.010514,,,,,,
cell_value,C-a,support,o,filled,qwen|bbq_Age,qwen,bbq_Age,BBQ,0.132730,,,,,,
cell_value,C-a,support,o,filled,qwen|bbq_Race_ethnicity,qwen,bbq_Race_ethnicity,BBQ,0.106525,,,,,,
cell_value,C-a,support,o,filled,qwen|occ_gender,qwen,occ_gender,templated,-0.010591,,,,,,
cell_value,C-a,support,o,filled,qwen|ss_intra,qwen,ss_intra,StereoSet,0.013603,,,,,,
cell_value,C-a,support,o,filled,qwen7b|occ_gender,qwen7b,occ_gender,templated,0.213681,,,,,,
condition_mean,C-tensorshuf,location,^,open,,,,,0.045485,-0.001606,0.136720,7,covers 0,False,"n=7 of 10 cells: phi|occ_gender, phi|bbq_Age, phi|ss_intra carry no C-tensorshuf row (fused qkv_proj) - ABSENT, not zero-filled"
cell_value,C-tensorshuf,location,^,open,gemma|occ_gender,gemma,occ_gender,templated,0.316950,,,,,,
cell_value,C-tensorshuf,location,^,open,llama|occ_gender,llama,occ_gender,templated,-0.005759,,,,,,
cell_value,C-tensorshuf,location,^,open,phi|bbq_Age,phi,bbq_Age,BBQ,,,,,,,structurally absent (fused qkv_proj)
cell_value,C-tensorshuf,location,^,open,phi|occ_gender,phi,occ_gender,templated,,,,,,,structurally absent (fused qkv_proj)
cell_value,C-tensorshuf,location,^,open,phi|ss_intra,phi,ss_intra,StereoSet,,,,,,,structurally absent (fused qkv_proj)
cell_value,C-tensorshuf,location,^,open,qwen|bbq_Age,qwen,bbq_Age,BBQ,0.003507,,,,,,
cell_value,C-tensorshuf,location,^,open,qwen|bbq_Race_ethnicity,qwen,bbq_Race_ethnicity,BBQ,0.002492,,,,,,
cell_value,C-tensorshuf,location,^,open,qwen|occ_gender,qwen,occ_gender,templated,-0.001711,,,,,,
cell_value,C-tensorshuf,location,^,open,qwen|ss_intra,qwen,ss_intra,StereoSet,0.001016,,,,,,
cell_value,C-tensorshuf,location,^,open,qwen7b|occ_gender,qwen7b,occ_gender,templated,0.001902,,,,,,
condition_mean,C-layershuf,location,^,open,,,,,0.004451,0.001999,0.007791,10,excludes 0,False,
cell_value,C-layershuf,location,^,open,gemma|occ_gender,gemma,occ_gender,templated,0.003054,,,,,,
cell_value,C-layershuf,location,^,open,llama|occ_gender,llama,occ_gender,templated,0.008923,,,,,,
cell_value,C-layershuf,location,^,open,phi|bbq_Age,phi,bbq_Age,BBQ,0.004716,,,,,,
cell_value,C-layershuf,location,^,open,phi|occ_gender,phi,occ_gender,templated,0.003744,,,,,,
cell_value,C-layershuf,location,^,open,phi|ss_intra,phi,ss_intra,StereoSet,0.000321,,,,,,
cell_value,C-layershuf,location,^,open,qwen|bbq_Age,qwen,bbq_Age,BBQ,0.000967,,,,,,
cell_value,C-layershuf,location,^,open,qwen|bbq_Race_ethnicity,qwen,bbq_Race_ethnicity,BBQ,0.000944,,,,,,
cell_value,C-layershuf,location,^,open,qwen|occ_gender,qwen,occ_gender,templated,0.003003,,,,,,
cell_value,C-layershuf,location,^,open,qwen|ss_intra,qwen,ss_intra,StereoSet,0.002114,,,,,,
cell_value,C-layershuf,location,^,open,qwen7b|occ_gender,qwen7b,occ_gender,templated,0.016727,,,,,,
condition_mean,C-b,sign,s,open,,,,,0.003577,0.001780,0.005553,10,excludes 0,False,
cell_value,C-b,sign,s,open,gemma|occ_gender,gemma,occ_gender,templated,0.009604,,,,,,
cell_value,C-b,sign,s,open,llama|occ_gender,llama,occ_gender,templated,0.007702,,,,,,
