cell,tier,published,C_ref,C_a,delta_selection,in_envelope
llama|crows_socioeconomic,<=9B,False,0.010965514552685648,0.006210540616235077,0.004754973936450571,True
llama8b|bbq_Age,<=9B,False,0.02302769007890121,0.025749893119369743,-0.002722203040468534,True
phi|crows_socioeconomic,<=9B,False,0.029267816580543223,0.01847317514493484,0.010794641435608383,True
llama|ss_intra,<=9B,False,0.0791211836169739,0.015315190188754185,0.06380599342821971,True
gemma|crows_socioeconomic,<=9B,False,0.08360829741455787,0.04495147309562031,0.03865682431893756,True
phi|ss_intra,<=9B,True,0.10004366330988766,0.010514238017312558,0.0895294252925751,True
phi|occ_gender,<=9B,True,0.11630237252548674,0.01398238961200334,0.1023199829134834,True
qwen|ss_intra,<=9B,True,0.11658397000890323,0.013602779273105298,0.10298119073579794,True
gemma|bbq_Age,<=9B,False,0.17093245102011642,0.09471274113309558,0.07621970988702084,True
qwen|bbq_Race_ethnicity,<=9B,True,0.2527985808039119,0.10652546973621464,0.14627311106769725,True
qwen|bbq_Age,<=9B,True,0.2531364525573841,0.13272991249526755,0.12040654006211654,True
qwen7b|bbq_Age,<=9B,False,0.3237730385600657,0.1923197687536046,0.13145326980646108,True
phi|bbq_Age,<=9B,True,0.3308832499428072,0.07793369923812758,0.2529495507046796,True
qwen|occ_gender,<=9B,True,0.39103392818360644,-0.010590732801316541,0.401624660984923,True
llama|occ_gender,<=9B,True,0.6147684659351736,0.04300338637738584,0.5717650795577878,True
qwen7b|occ_gender,<=9B,True,0.6633505975907624,0.2136812861963504,0.449669311394412,True
gemma|occ_gender,<=9B,True,0.6928624581874882,0.09488269102316349,0.5979797671643247,True
llama8b|occ_gender,<=9B,False,0.6975281034473911,0.4645050061506548,0.23302309729673631,True
qwen32b|occ_gender,27-32B,False,0.5416444178748865,0.17125554682744415,0.37038887104744234,True
gemma27b|occ_gender,27-32B,False,0.6673823499947094,0.4190570394262536,0.24832531056845575,True
