tier,tier_label,n_cells,series,target,target_label,sparsity,retained_fraction,value,ci_lo,ci_hi,ci_status,n,unit,gate,note
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.0,1.0,0.674084,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.0,1.0,0.747831,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.0,1.0,0.316270,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.0,1.0,0.000000,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.0,1.0,0.378201,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.5,0.5,0.030383,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.5,0.5,0.704467,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.5,0.5,-0.042913,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.5,0.5,0.704918,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.5,0.5,-0.005935,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.5,0.5,0.310336,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.5,0.5,0.121498,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.5,0.5,0.499699,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.9,0.09999999999999998,0.085703,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.9,0.09999999999999998,0.759788,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.9,0.09999999999999998,-0.000805,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.9,0.09999999999999998,0.747026,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.9,0.09999999999999998,-0.061621,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.9,0.09999999999999998,0.254649,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.9,0.09999999999999998,0.242874,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.9,0.09999999999999998,0.621075,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.95,0.050000000000000044,0.031240,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.95,0.050000000000000044,0.705324,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.95,0.050000000000000044,-0.040713,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.95,0.050000000000000044,0.707119,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.95,0.050000000000000044,-0.041232,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.95,0.050000000000000044,0.275039,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.95,0.050000000000000044,0.273151,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.95,0.050000000000000044,0.651353,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.97,0.030000000000000027,-0.114750,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.97,0.030000000000000027,0.559335,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.97,0.030000000000000027,-0.074856,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.97,0.030000000000000027,0.672975,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.97,0.030000000000000027,-0.114447,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.97,0.030000000000000027,0.201823,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.97,0.030000000000000027,0.267631,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.97,0.030000000000000027,0.645832,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.99,0.010000000000000009,0.018778,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.99,0.010000000000000009,0.692862,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.99,0.010000000000000009,-0.133063,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.99,0.010000000000000009,0.614768,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.99,0.010000000000000009,-0.199968,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.99,0.010000000000000009,0.116302,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.99,0.010000000000000009,0.012833,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.99,0.010000000000000009,0.391034,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.995,0.0050000000000000044,-0.124931,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.995,0.0050000000000000044,0.549154,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.995,0.0050000000000000044,-0.226091,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.995,0.0050000000000000044,0.521741,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.995,0.0050000000000000044,-0.247110,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.995,0.0050000000000000044,0.069161,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.995,0.0050000000000000044,-0.304255,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.995,0.0050000000000000044,0.073947,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,gemma,gemma-2.6B,0.999,0.0010000000000000009,-0.554851,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,gemma,gemma-2.6B,0.999,0.0010000000000000009,0.119234,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,llama,llama-3.2B,0.999,0.0010000000000000009,-0.423382,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,llama,llama-3.2B,0.999,0.0010000000000000009,0.324449,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,phi,phi-3.8B,0.999,0.0010000000000000009,-0.299836,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,phi,phi-3.8B,0.999,0.0010000000000000009,0.016435,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,per_target_delta_vs_dense,qwen,qwen-3B,0.999,0.0010000000000000009,-0.388029,,,,1,removal delta,v9,one of the 4 cells the band resamples
small,≤3.8B,4,per_target_cell_mean,qwen,qwen-3B,0.999,0.0010000000000000009,-0.009828,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_v9,,,0.0,1.0,0.000000,0.000000,0.000000,n/a,4,removal delta,v9,"REGISTERED v9 value; budget-fail scored 0.0 — dense reference, 0 by construction"
small,≤3.8B,4,delta_vs_dense_v9,,,0.5,0.5,0.025758,-0.024589,0.089640,covers 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
