panel,kind,projection,depth_bin,cell,target,value,ci_lo,ci_hi,n,status,note
left(a) heatmap,fold_enrichment_cell,q_proj,d1/8,,,0.212059,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,k_proj,d1/8,,,0.172362,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,v_proj,d1/8,,,0.837803,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,o_proj,d1/8,,,1.081998,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,q_proj,d2/8,,,0.151063,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,k_proj,d2/8,,,0.092079,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,v_proj,d2/8,,,0.145536,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,o_proj,d2/8,,,0.395572,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,q_proj,d3/8,,,0.643670,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,k_proj,d3/8,,,0.394036,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,v_proj,d3/8,,,0.187331,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,o_proj,d3/8,,,0.578642,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,q_proj,d4/8,,,0.716894,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,k_proj,d4/8,,,0.265075,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,v_proj,d4/8,,,0.348857,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,o_proj,d4/8,,,0.995895,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,q_proj,d5/8,,,0.901811,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,k_proj,d5/8,,,0.477274,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,v_proj,d5/8,,,0.506808,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
left(a) heatmap,fold_enrichment_cell,o_proj,d5/8,,,1.599055,,,27,,mean over included dumps of that dump's own (k_cell/N_cell)/density_dump; hypergeometric null = 1.0; no zeroed non-measurements
