row_type,panel,estimand_or_cell,target,axis,method_or_comparator,y_position,value,value_as_run,delta_v9_minus_as_run,ci_lo,ci_hi,ci_status,n_cells,n_seeds,gate_provenance,gate_mode,true_v9,is_measurement,zeroed_reason,marker,marker_fill,source,note
cell_dot,left: per-cell removal,llama|occ_gender,llama,occ_gender,edit,-0.307,0.747209,0.747209,0.000000,,,,,3,as-run,"<as-run, ungated field>",False,True,,o,"open, solid edge","results/x (role=self; NOT re-scorable — no trace, no twin)",
cell_dot,left: per-cell removal,llama|occ_gender,llama,occ_gender,steering,-0.102,0.644472,0.639826,0.004647,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,v9 re-score moved this dot off its as-run value; the draft's Table A still prints the as-run digit
cell_dot,left: per-cell removal,llama|occ_gender,llama,occ_gender,SentenceDebias,0.102,0.701166,0.701166,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,llama|occ_gender,llama,occ_gender,DPO,0.307,-0.000000,-0.000000,0.000000,,,,,3,ungated,UNGATED,False,True,,o,"open, dotted edge",results_v9/v6trace/dpo,
cell_dot,left: per-cell removal,gemma|occ_gender,gemma,occ_gender,edit,0.693,0.674084,0.674084,0.000000,,,,,3,true-v9,integer,True,True,,o,filled,results_v9/v6trace/x2 (role=self),
cell_dot,left: per-cell removal,gemma|occ_gender,gemma,occ_gender,steering,0.897,0.680387,0.680387,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,
cell_dot,left: per-cell removal,gemma|occ_gender,gemma,occ_gender,SentenceDebias,1.103,0.794770,0.794770,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,gemma|occ_gender,gemma,occ_gender,DPO,1.308,0.000000,0.000000,0.000000,,,,,0,ungated,UNGATED,False,False,"all 3 rows skipped (too_few_pairs; n_informative=[11, 12]) — no configuration was ever run",$\varnothing$,special glyph (not a measurement),results_v9/v6trace/dpo,
cell_dot,left: per-cell removal,qwen|occ_gender,qwen,occ_gender,edit,1.692,0.512394,0.512394,0.000000,,,,,3,as-run,"<as-run, ungated field>",False,True,,o,"open, solid edge","results/x (role=self; NOT re-scorable — no trace, no twin)",
cell_dot,left: per-cell removal,qwen|occ_gender,qwen,occ_gender,steering,1.897,0.634940,0.549578,0.085362,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,v9 re-score moved this dot off its as-run value; the draft's Table A still prints the as-run digit
cell_dot,left: per-cell removal,qwen|occ_gender,qwen,occ_gender,SentenceDebias,2.103,0.466603,0.466603,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,qwen|occ_gender,qwen,occ_gender,DPO,2.308,-0.130453,-0.130453,0.000000,,,,,3,ungated,UNGATED,False,True,,o,"open, dotted edge",results_v9/v6trace/dpo,
cell_dot,left: per-cell removal,phi|occ_gender,phi,occ_gender,edit,2.692,0.319707,0.319707,0.000000,,,,,3,true-v9,integer,True,True,,o,filled,results_v9/v6trace/x2 (role=self),
cell_dot,left: per-cell removal,phi|occ_gender,phi,occ_gender,steering,2.897,0.538659,0.538659,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,
cell_dot,left: per-cell removal,phi|occ_gender,phi,occ_gender,SentenceDebias,3.103,0.549018,0.549018,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,phi|occ_gender,phi,occ_gender,DPO,3.308,-0.124331,-0.124331,0.000000,,,,,3,ungated,UNGATED,False,True,,o,"open, dotted edge",results_v9/v6trace/dpo,
cell_dot,left: per-cell removal,gemma|crows_socioeconomic,gemma,crows_socioeconomic,edit,3.692,0.122793,0.122793,0.000000,,,,,3,true-v9,integer,True,True,,o,filled,results_v9/v6trace/x2 (role=self),
cell_dot,left: per-cell removal,gemma|crows_socioeconomic,gemma,crows_socioeconomic,steering,3.897,0.001857,0.001857,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,
cell_dot,left: per-cell removal,gemma|crows_socioeconomic,gemma,crows_socioeconomic,SentenceDebias,4.103,0.007028,0.007028,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,gemma|crows_socioeconomic,gemma,crows_socioeconomic,DPO,4.308,0.000000,0.000000,0.000000,,,,,0,ungated,UNGATED,False,False,all 3 rows skipped (too_few_pairs; n_informative=[10]) — no configuration was ever run,$\varnothing$,special glyph (not a measurement),results_v9/v6trace/dpo,
cell_dot,left: per-cell removal,phi|crows_socioeconomic,phi,crows_socioeconomic,edit,4.692,0.045908,0.045908,0.000000,,,,,3,true-v9,integer,True,True,,o,filled,results_v9/v6trace/x2 (role=self),
cell_dot,left: per-cell removal,phi|crows_socioeconomic,phi,crows_socioeconomic,steering,4.897,0.029167,0.029167,0.000000,,,,,3,true-v9,integer-delta,True,True,,o,filled,results_v9/v6trace/steer,
cell_dot,left: per-cell removal,phi|crows_socioeconomic,phi,crows_socioeconomic,SentenceDebias,5.103,0.000000,0.000000,0.000000,,,,,0,true-v9,integer-delta,True,False,"budget-fail: 12 candidate rows, 0 in-budget (collateral_ok never true)",x,special glyph (not a measurement),results_v9/v6trace/sentdebias,
cell_dot,left: per-cell removal,phi|crows_socioeconomic,phi,crows_socioeconomic,DPO,5.308,0.027041,0.027041,0.000000,,,,,3,ungated,UNGATED,False,True,,o,"open, dotted edge",results_v9/v6trace/dpo,
